contrast,collection,pathway,NES,pval,padj,size,leadingEdge
LumB_vs_GTEx,Hallmark,HALLMARK_INTERFERON_GAMMA_RESPONSE,1.29812580800567,0.0244447474399947,0.0691529039420902,164,CXCL10;CXCL11;CASP3;FCGR1A;PSMB2;OAS3;TOR1B;PSMA2;STAT1;TRIM14;PSME2;RIPK2;CXCL9;EIF2AK2;PSME1;BPGM;OAS2;ADAR;TRIM26;OASL;UBE2L6;RIGI;IFIH1;ISG15;PTPN6;RSAD2;PSMA3;USP18;DDX60;MTHFD2;IFIT1;HELZ2;MYD88;IFIT2;SPPL2A;PNPT1;LGALS3BP;SLAMF7;TRAFD1;ZNFX1;CCL5;CMPK2;IL2RB;IDO1;CCL7;IFIT3;SP110;MX1;GPR18;RNF213;TRIM21;PARP14;HLA-DQA1;GZMA;NCOA3;LAP3;BATF2;CFB;IFI44L;BST2;HERC6;TNFAIP6;NMI;IFI35;CASP8;CASP7;ST8SIA4;RAPGEF6;SAMD9L;B2M;SECTM1;TNFSF10;WARS1;LY6E;IFI27;NUP93
LumB_vs_GTEx,Hallmark,HALLMARK_WNT_BETA_CATENIN_SIGNALING,-1.52430904558826,0.0261977784452947,0.0731496411134852,30,NOTCH4;DLL1;GNAI1;KAT2A;JAG1;PTCH1;CSNK1E;JAG2;DVL2;CCND2;DKK4;MYC;HDAC5;HEY2;NUMB;WNT1;DKK1;WNT5B;AXIN2
LumB_vs_GTEx,Hallmark,HALLMARK_ADIPOGENESIS,-1.33088026796182,0.0282900287608773,0.0779789254306233,153,ITGA7;CAVIN2;BCL6;ITIH5;ANGPTL4;PPARG;LIFR;ENPP2;LIPE;CAVIN1;FABP4;SORBS1;LPL;ACADS;STAT5A;ELMOD3;CD36;MIGA2;PEMT;SLC27A1;FZD4;LEP;IFNGR1;NABP1;ANGPT1;GPAM;PIM3;LTC4S;CD302;ITSN1;LAMA4;C3;ADIPOQ;MGLL;MYLK;GBE1;ARL4A;SNCG;ALDH2;PFKFB3;ESYT1;ESRRA;ABCA1;ADCY6;POR;CDKN2C;ETFB;PEX14;SCARB1;PTGER3;CYP4B1;VEGFB
LumB_vs_GTEx,KEGG_Legacy,KEGG_STEROID_HORMONE_BIOSYNTHESIS,-1.47102968574333,0.0291376415250778,0.0792986446568574,46,CYP11B1;CYP3A5;AKR1C1;CYP7A1;AKR1C2;CYP1A1;CYP11A1;CYP3A7;HSD17B3;CYP3A4;HSD3B2;CYP17A1;HSD11B1;CYP3A43;CYP11B2;CYP19A1;HSD17B2
LumB_vs_GTEx,Hallmark,HALLMARK_UV_RESPONSE_UP,1.37121096683883,0.0296949223202763,0.0798051037357427,123,FEN1;RPN1;TMBIM6;EPCAM;FKBP4;PPAT;PPT1;DNAJA1;CASP3;H2AX;NAT1;RFC4;ATP6V1C1;CCNE1;BAK1;RET;SPR;LHX2;HSPA13;DNAJB1;ATP6V1F;EIF2S3;CTSV;GGH;YKT6;CYB5R1;ALDOA;CDC5L;PRKCD;MARK2;MAPK8IP2;CYB5B;AP2S1;POLR2H;PPP1R2;RASGRP1;PSMC3;TFRC;CHRNA5;HMOX1;CDK2;CNP;PPIF;GRINA;HSPA2;PRKACA;BCL2L11
LumB_vs_GTEx,Hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.42993449534176,0.0348282485866679,0.0924453511868346,65,REG1A;ACVRL1;LEPR;IL3RA;IL15RA;TNFRSF1B;TYK2;CNTFR;CD36;JUN;MAP3K8;IFNGR1;PLA2G2A;CXCL3;PIM1;IL1R1;CSF1;ITGB3;OSMR;PF4;IL4R;CXCL1;A2M;FAS;SOCS3;STAT2;SOCS1
LumB_vs_GTEx,KEGG_Legacy,KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,-1.45718079714351,0.0370034287006548,0.0970211850078143,57,ITGA7;DMD;TCF7L1;DES;LAMA2;TCF7L2;ITGA10;SGCA;CACNB2;ITGA5;RYR2;CACNB1;ITGB3;ITGA6;CACNA2D4;ITGA9;CACNA2D3;CACNA1C;CACNA1S;CACNA2D1;SGCG;CACNA1F;ACTN1;CTNNA3;CACNG7;ITGB4
LumB_vs_GTEx,KEGG_Legacy,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,1.51122742279723,0.0393081669972737,0.101444021668451,21,PIGM;PIGX;PIGW;PIGC;DPM2;PIGT;PIGP;PIGO;PIGK;PIGF;PIGY
LumB_vs_GTEx,Hallmark,HALLMARK_ANGIOGENESIS,-1.45162081885136,0.0396339433495344,0.101444021668451,32,MSX1;LPL;JAG1;KCNJ8;APOH;PRG2;JAG2;THBD;PGLYRP1;SLCO2A1;PF4;CCND2;FGFR1;S100A4;NRP1;VEGFA;FSTL1
LumB_vs_GTEx,KEGG_Legacy,KEGG_MELANOGENESIS,-1.37509305525923,0.0409083864034126,0.102270966008532,81,ADCY4;EDNRB;ADCY3;WNT2B;TCF7L1;WNT11;POMC;TCF7L2;GNAI1;FZD4;EDN1;ASIP;DCT;PRKCA;FZD9;DVL1;DVL2;MITF;KIT;ADCY6;ADCY5;ADCY8;WNT9B;PLCB2;ADCY2;FZD10;PLCB4;CAMK2G;CAMK2D;WNT10B;WNT1;WNT5B;PRKACG;FZD5;WNT16;DVL3
LumB_vs_GTEx,Hallmark,HALLMARK_KRAS_SIGNALING_UP,-1.28193063426166,0.0407189957256191,0.102270966008532,160,SPRY2;FLT4;TSPAN7;GYPC;BMP2;ANGPTL4;AKAP12;ADGRL4;KLF4;NGF;ENG;RBP4;HBEGF;ALDH1A2;ADGRA2;TNFRSF1B;IGFBP3;RELN;ABCB1;PTBP2;PLVAP;IL33;PECAM1;ARG1;GFPT2;GPRC5B;MTMR10;EMP1;CFH;ETS1;SATB1;HSD11B1;SCN1B;CCND2;TNNT2;MPZL2;ALDH1A3;TRAF1;NRP1;PTGS2;MALL;TNFAIP3;SLPI;TRIB2;GADD45G;DUSP6;IGF2;F13A1;EPB41L3;SEMA3B;VWA5A;SNAP91;CFHR2;ETV5;HDAC9;PCSK1N;NAP1L2;RETN;SPON1;DNMBP;NR1H4;DCBLD2;CPE;EREG
LumB_vs_GTEx,KEGG_Legacy,KEGG_ENDOCYTOSIS,1.27609608855139,0.0434450349069683,0.107364166724117,142,PARD6B;ARF6;STAMBP;EPN3;VTA1;RAB11FIP4;ERBB3;CDC42;RAB11A;RET;WWP1;RAB22A;RAB11FIP1;CHMP4C;RAB5B;TSG101;AP2B1;HSPA1L;CHMP4B;HSPA1B;PRKCZ;CHMP5;MDM2;VPS37C;PRKCI;AGAP1;AP2S1;F2R;VPS4B;HSPA1A;IL2RB;TFRC;PIP5K1A;STAM;CBLC;IGF1R;RABEP1;VPS45;RAB4A;SMAP1;ERBB4;CHMP2A;ITCH;HSPA2;VPS28;GRK6;STAM2;FGFR3;CHMP1B;EHD3
LumB_vs_GTEx,KEGG_Legacy,KEGG_ARACHIDONIC_ACID_METABOLISM,-1.36316034329403,0.0518324149500798,0.12663601379849,42,JMJD7-PLA2G4B;PLA2G4B;GGT5;PLA2G2A;PTGDS;PTGIS;CYP2E1;LTC4S;PLA2G4A;PTGS2;GGT7;PLA2G1B;CYP2U1;EPHX2;GPX4;CYP2C9;PLA2G4E
LumB_vs_GTEx,KEGG_Legacy,KEGG_PANCREATIC_CANCER,1.343403033696,0.0573476702508961,0.137057198957295,49,RAD51;E2F2;PIK3R2;BRCA2;RALA;STAT1;CDC42;MAPK9;RAC1;CCND1;CDK4;KRAS;MAPK1;SMAD2;RAC2;RAC3;TGFBR1;CHUK;RB1;PIK3CG;AKT1;PIK3R3;TGFB3
LumB_vs_GTEx,Hallmark,HALLMARK_ALLOGRAFT_REJECTION,1.26996950928474,0.0576840125930153,0.137057198957295,153,UBE2N;INHBA;CCL11;BRCA1;LY86;CXCR3;NPM1;STAT1;RIPK2;MTIF2;CXCL9;CD80;IGSF6;EIF3J;CD47;EIF5A;PTPN6;GPR65;THY1;FASLG;CCR1;BCL10;IL12B;CRTAM;F2R;FYB1;ABCE1;CCL5;IL2RB;ITGAL;GCNT1;ABI1;CTSS;CCL7;TNF;CD3G;TRAF2;IL18;HLA-DQA1;DARS1;CD4;CD3D;GZMA;DEGS1;CD3E;ITGB2;IFNG;EIF3A;CCR2;HLA-DRA;IL12RB1;AKT1;CD8A;AARS1;LTB
