contrast,collection,pathway,NES,pval,padj,size,leadingEdge
Her2_vs_GTEx,KEGG_Legacy,KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,1.11873354007476,0.207977207977208,0.328787497905145,99,PIK3R2;YWHAZ;MAGED1;GSK3B;RAC1;PSEN1;YWHAQ;CDC42;CALM2;RIPK2;GRB2;YWHAB;NFKBIE;FASLG;MAPK13;MAPK9;YWHAE;KRAS;MAPK1;AKT1;CRKL;CALML5;YWHAG;MAPKAPK2;PIK3R3;CALM1;BAX;ARHGDIB;PIK3CG;CALM3;PRKCD;NRAS
Her2_vs_GTEx,KEGG_Legacy,KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS,1.20914167966361,0.216470588235294,0.336677030615255,21,PIGM;PIGX;DPM2;PIGW;PIGC;PIGK;PIGY;PIGO;PIGT;PIGF;PIGP
Her2_vs_GTEx,KEGG_Legacy,KEGG_HEDGEHOG_SIGNALING_PATHWAY,-1.16560015391892,0.216637781629116,0.336677030615255,44,WNT2B;BMP2;PTCH2;WNT11;STK36;BMP5;GLI1;PTCH1;GAS1;CSNK1E;HHIP;WNT3;GLI2;WNT9B;WNT10B
Her2_vs_GTEx,Hallmark,HALLMARK_HEME_METABOLISM,1.08572996776096,0.217665615141956,0.336677030615255,155,E2F2;EIF2AK1;GMPS;ADIPOR1;GDE1;LAMP2;IGSF3;HDGF;UCP2;CLCN3;DCUN1D1;TENT5C;P4HA2;BPGM;PRDX2;CDR2;TFRC;MBOAT2;CTSB;RAP1GAP;GLRX5;DCAF11;OSBP2;ACP5;ATG4A;RHCE;SLC2A1;BLVRA;MINPP1;HMBS;SLC7A11;SLC6A9;KLF1;TMEM9B;NCOA4;UROS;HTATIP2;NUDT4;SLC30A1;DAAM1;TFDP2;CTSE;GCLM;PDZK1IP1;DCAF10;AQP3;BSG
Her2_vs_GTEx,KEGG_Legacy,KEGG_GLYCOLYSIS_GLUCONEOGENESIS,1.12010878615632,0.223057644110276,0.342552810597923,55,GAPDH;PGK1;AKR1A1;PKM;TPI1;BPGM;ALDH3B2;GPI;ALDOA;ENO1;HK1;PGAM1;LDHA;HK2;ALDH1B1;ALDH7A1
Her2_vs_GTEx,KEGG_Legacy,KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1.1527883205673,0.236144578313253,0.360078612321627,30,IL4I1;GOT1;PPAT;GOT2;GFPT1;ADSS2
Her2_vs_GTEx,KEGG_Legacy,KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,1.10910750892744,0.24330900243309,0.368390391007848,52,CCL11;HSP90AA1;RIPK2;XIAP;MAPK13;HSP90AB1;CCL5;MAPK9;CCL7;MAPK1;IL18;CASP8;HSP90B1;PYDC1;TNF;CCL8;CXCL8;SUGT1;NOD2;NLRC4;TAB2;ERBIN
Her2_vs_GTEx,KEGG_Legacy,KEGG_ECM_RECEPTOR_INTERACTION,-1.12429644813153,0.245585874799358,0.368539029535865,69,ITGA7;VWF;LAMB2;ITGA10;LAMA2;HSPG2;CD36;LAMB1;SV2B;LAMA3;THBS3;RELN;COL5A3;ITGA9;LAMA4;GP9;ITGB3;LAMC1;ITGA5;COL4A6;LAMC3;ITGA2B;COL6A6;COL6A2;ITGA6;VTN;LAMA1
Her2_vs_GTEx,KEGG_Legacy,KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,1.07602852919401,0.246835443037975,0.368539029535865,167,DIAPH3;IQGAP3;EZR;PIK3R2;CFL1;PPP1CA;FN1;RAC1;LIMK1;CDC42;PIP4K2C;PAK4;ARPC5L;ITGB6;ACTG1;ARPC5;SLC9A1;PAK2;FGFR4;PPP1CB;VAV2;DIAPH1;MYL12B;RAC2;KRAS;MAPK1;F2R;CRKL;GNA13;ITGB2;PFN1;SCIN;PAK1;ITGAL;PFN2;PIK3R3;VAV1;MYLK2;PIK3CG;IQGAP2;PPP1CC;ITGAV;ITGA2;CYFIP1;NRAS;ARHGAP35;CHRM1;TIAM1;RAC3;FGF12;NCKAP1L;ARPC2;ARPC1B;MYLK3;FGF13;APC;ITGAD;ITGB7
Her2_vs_GTEx,KEGG_Legacy,KEGG_CHEMOKINE_SIGNALING_PATHWAY,1.07597052347432,0.250783699059561,0.371851691709004,149,CXCL10;CXCL11;CCL11;PIK3R2;CXCL9;CXCR3;GSK3B;RAC1;STAT1;CDC42;GNAI3;GRB2;CCR6;GNG13;CCL17;CCL5;PRKCZ;CCL4L2;CXCR6;CCR4;VAV2;CCR1;CCL7;CCR2;RAC2;KRAS;MAPK1;AKT1;CRKL;GNB1;XCL2;PAK1;CCL3;PIK3R3;VAV1;GNG5;CXCL16;CCL8;PIK3CG;XCR1;CCL1;CXCL8;PRKCD;GNGT1;NRAS
Her2_vs_GTEx,Hallmark,HALLMARK_P53_PATHWAY,-1.07445178110753,0.267441860465116,0.393835616438356,156,TSPYL2;RRAD;BMP2;ZBTB16;PIDD1;PROCR;UPP1;PHLDA3;ANKRA2;KLF4;JAG2;EPHA2;HBEGF;JUN;XPC;DDIT3;IRAG2;MXD4;LDHB;DDB2;PLK3;PMM1;CCND3;PRKAB1;FBXW7;RAD9A;CD81;S100A4;CEBPA;PTPRE;CTSF;CDKN1A;DGKA;FOS;ATF3;BLCAP;ERCC5;CCND2;ADA;FAS;PTPN14;SAT1;INHBB;SLC19A2;WRAP73;BTG1;CGRRF1;STOM;NOL8;CDH13
Her2_vs_GTEx,KEGG_Legacy,KEGG_PRIMARY_IMMUNODEFICIENCY,1.11262998800595,0.28169014084507,0.411995784229185,28,BLNK;ICOS;UNG;CD3D;CD3E;CD79A;CD4;CD8A;LCK;PTPRC;DCLRE1C;TNFRSF13B;CD40LG
Her2_vs_GTEx,KEGG_Legacy,KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,-1.11241307046119,0.289473684210526,0.414710988233781,37,ADCY3;AVPR2;VAMP2;CREB5;RAB11B;AVP;DYNC1I1;DYNC2H1;STX4;ADCY6
Her2_vs_GTEx,Hallmark,HALLMARK_IL6_JAK_STAT3_SIGNALING,-1.09162705338559,0.29126213592233,0.414710988233781,65,REG1A;ACVRL1;TYK2;LEPR;IL3RA;CNTFR;CD36;CSF1;MAP3K8;TNFRSF1B;IL15RA;PIM1;JUN;ITGB3;STAT2;CXCL3;IL1R1;OSMR;PF4;A2M;SOCS3;IFNGR1;PLA2G2A;CSF3R;FAS
Her2_vs_GTEx,KEGG_Legacy,KEGG_GLIOMA,1.08680250769517,0.290023201856148,0.414710988233781,46,E2F2;PIK3R2;CALM2;GRB2;CDK4;KRAS;MAPK1;AKT1;CALML5;PIK3R3;CALM1;PIK3CG;CALM3;NRAS
Her2_vs_GTEx,Hallmark,HALLMARK_IL2_STAT5_SIGNALING,-1.07327931553383,0.2882096069869,0.414710988233781,146,PLPP1;CAPN3;SHE;PTH1R;MAFF;CDKN1C;AGER;ITIH5;BMP2;IL1RL1;SH3BGRL2;DHRS3;IL3RA;GADD45B;FLT3LG;ENO3;TNFRSF8;ABCB1;MYC;CSF1;MAP3K8;SLC2A3;TNFRSF1B;KLF6;PIM1;DENND5A;RNH1;MYO1C;EMP1;CCND3;PTCH1;SCN9A;BCL2;AHNAK;CD81;NFKBIZ;PENK;RORA;IFNGR1;NRP1;TRAF1;MAP6;CCND2;PTGER2;ITGA6;TNFRSF4;PLSCR1;GPX4;FGL2;IGF1R;COL6A1;IL4R
Her2_vs_GTEx,KEGG_Legacy,KEGG_AXON_GUIDANCE,-1.07936328954103,0.302003081664099,0.42717541156435,105,FES;SEMA3G;ABLIM3;SEMA6A;SEMA6C;ABLIM2;CFL2;PLXNB1;FYN;PPP3CC;SEMA3B;PAK3;EPHA2;DPYSL2;SEMA6D;NFATC4;GNAI1;PLXNA2;SRGAP2;EPHA4;SEMA6B;ROCK1;NFATC1;NFAT5;SEMA4G;NRP1;PAK5;SLIT2;ABL1;EPHB1;ABLIM1;SEMA3A;GNAI2;CHP2;PLXNB3;EPHA5;EFNB3;NCK1;EPHA7;MET;SEMA4C
Her2_vs_GTEx,Hallmark,HALLMARK_NOTCH_SIGNALING,-1.11141741201626,0.309278350515464,0.431784710135226,26,KAT2A;DLL1;JAG1;DTX1;MAML2;TCF7L2;ST3GAL6;PRKCA;HEYL;HES1;NOTCH3;FZD5
Her2_vs_GTEx,KEGG_Legacy,KEGG_VIRAL_MYOCARDITIS,-1.07995735176488,0.308580858085809,0.431784710135226,61,CAV1;MYH3;MYH7;MYH7B;SGCA;LAMA2;MYH11;MYH1;DMD;MYH6;FYN;MYH2;CD40;HLA-E;SGCG
Her2_vs_GTEx,KEGG_Legacy,KEGG_DRUG_METABOLISM_OTHER_ENZYMES,1.07377159952284,0.312056737588652,0.432852894074582,43,TK1;GMPS;TPMT;UMPS;HPRT1;UCK2;UGT2B10;UGT2B11;UGT1A6;UGT2B28
Her2_vs_GTEx,Hallmark,HALLMARK_APICAL_SURFACE,1.0959216625852,0.319444444444444,0.440259971509971,35,SHROOM2;THY1;BRCA1;LYPD3;IL2RB;ATP8B1;PLAUR;ADAM10;NCOA6;ATP6V0A4;B4GALT1;APP;CRYBG1;PCSK9
