"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic","negLog10Padj","Regulation"
"PIK3R1",-1.4414853341553,1.23794584956983,-17.364403091838,4.38227927157328e-51,6.51943430763764e-50,105.333131768611,49.1857900864352,"Down"
"MYBL2",2.76106070527618,-1.08937375928203,17.3603182189289,4.56613511920287e-51,6.78803432275416e-50,105.292170174423,49.168255970399,"Up"
"KDM4B",1.34661065246844,1.08707672790088,17.3541224610729,4.8598147124785e-51,7.21939189921734e-50,105.230044225805,49.1414993822,"Up"
"DDX26B",-1.73511656105158,-0.348240715716617,-17.3480907631714,5.16383619232758e-51,7.66547773163306e-50,105.169566606318,49.1154607736541,"Down"
"PCDHGB7",-1.81600616382205,0.859218252710482,-17.3474870151449,5.19529463972466e-51,7.70660397063203e-50,105.163513224612,49.1131369581008,"Down"
"NAT1",3.52212229067776,3.56456349482839,17.3427354379148,5.44965430781041e-51,8.07807963460994e-50,105.115873438314,49.0926918698215,"Up"
"TUBB6",-1.43919385378132,-0.0904827939036591,-17.3413100984936,5.52835388168076e-51,8.1888243283482e-50,105.101583235581,49.0867784455365,"Down"
"SPATS2",0.7433195417473,-0.0239611342826526,17.3401715898412,5.59203117245886e-51,8.27717375418748e-50,105.090168877924,49.0821179280085,"Not Significant"
"PSMD14",0.640336217215233,-0.192631837123158,17.3385557368134,5.68366666471262e-51,8.40674903649496e-50,105.07396900253,49.0753719172185,"Not Significant"
"MAD2L1",1.49995438009557,-0.49939304378966,17.3375060469437,5.74399723297477e-51,8.48986776047315e-50,105.063445370136,49.0710990743431,"Up"
"PSMA5",0.700403409024269,-0.163060414598343,17.3341645413856,5.94034239639503e-51,8.77375751064676e-50,105.029945868022,49.0568143728081,"Not Significant"
"CHPF",1.26160719356667,-0.548922618374314,17.3253382301656,6.49182629874865e-51,9.58139424250969e-50,104.941464504211,49.0185712896928,"Up"
"ST8SIA1",-2.16564780261562,0.325012457573499,-17.325082870462,6.50852111965198e-51,9.59913351914189e-50,104.938904696773,49.0177679674645,"Down"
"HBA1",-5.08146602417402,-1.6485041657415,-17.3220322350515,6.71131305339845e-51,9.89111679729147e-50,104.908324603521,49.0047546698266,"Down"
"ACAD11",-1.17861267382493,-0.318607840084713,-17.3200158519737,6.84880602878121e-51,1.00865127525738e-49,104.888112492456,48.9962589580534,"Down"
"DIXDC1",-1.23285348530232,1.33702298694724,-17.3193047036737,6.89796612711729e-51,1.01516304365389e-49,104.880984068961,48.9934642008319,"Down"
"TNFRSF8",-2.03577436484188,0.140594531246281,-17.318026249032,6.98723114794798e-51,1.02756343458003e-49,104.868169182534,48.9881913583203,"Down"
"STOX2",-2.02360488763688,-0.459741773006974,-17.3109998792004,7.49883642423008e-51,1.10201225332458e-49,104.79774136527,48.9578135765172,"Down"
"SCN2A",-3.08977180367153,0.751141062311692,-17.31047124833,7.53880798700429e-51,1.10709390538768e-49,104.792442889208,48.9558155400409,"Down"
"ALDH1A3",-2.29627699348847,0.849947494000381,-17.3079618351474,7.73147629888197e-51,1.13457618596174e-49,104.767291343295,48.9451663362428,"Down"
"PRKD1",-1.63984011324357,-0.121826505220054,-17.2958887567849,8.72946585554477e-51,1.2801138143881e-49,104.646292303884,48.8927514156933,"Down"
"NRIP2",-1.29284740655783,0.321392782952949,-17.2909263923146,9.17608776102214e-51,1.34464726433822e-49,104.59656223594,48.8713916273662,"Down"
"CIT",1.63281587748412,-1.30577491152951,17.2885593400291,9.3970985229006e-51,1.37605158826783e-49,104.57284173869,48.8613652840656,"Up"
"OLR1",2.53175959924929,0.643756364657673,17.2876063499337,9.48757335668724e-51,1.38830991456015e-49,104.563291861892,48.8575135748326,"Up"
"ADRBK2",-1.50388604999249,0.767019982278368,-17.2860438382983,9.63780200258191e-51,1.40928828428067e-49,104.547634172578,48.8510001584407,"Down"
"LRRC8C",-1.33857077979064,0.435029140241158,-17.2842173475406,9.81642658902377e-51,1.43438603468084e-49,104.529331471379,48.8433339517578,"Down"
"XPNPEP2",-3.09315600833299,0.280328389196114,-17.2788155037667,1.03642998828744e-50,1.51336469840265e-49,104.475203042498,48.820056400848,"Down"
"LOC729467",-1.749636129201,0.175051131099124,-17.2744118745938,1.08334576269589e-50,1.58074545189385e-49,104.431079060403,48.801138059061,"Down"
"ROBLD3",1.18424109311798,-0.0255600201225979,17.267767698522,1.15817838354053e-50,1.68873595270505e-49,104.364508358378,48.7724382505165,"Up"
"EPYC",4.13794117819648,1.73087297539428,17.2650989482974,1.1896704987179e-50,1.73342337393035e-49,104.337770206248,48.7610953515932,"Up"
"ASXL3",-2.25388413131519,-0.126625166765201,-17.2628621144476,1.21672394193472e-50,1.77158457644822e-49,104.315359919987,48.751638109372,"Down"
