"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic"
"CCL3L3",-0.215429534119513,0.0344010105051963,-1.53333745767553,0.12595989867564,0.156962471612194,-6.69658971490551
"LOC643923",0.0296484128381096,-0.217714124375338,1.53200160267074,0.126289170583705,0.157363235741895,-6.69862753985885
"PDCL2",0.009997324414717,-0.348839964629905,1.5312153278253,0.126483291998968,0.157595556517498,-6.6998261683098
"NR2F2",0.143260274012895,1.02709494716691,1.53101623924905,0.126532481452123,0.15764727783785,-6.70012957028208
"SNAR-B2",0.018712709030088,-0.0288938143197903,1.53096884208475,0.126544194224247,0.157652303381503,-6.70020179566538
"MOAP1",0.0733467171272748,0.261514552861173,1.52998772346543,0.126786838271571,0.157941004655568,-6.70169636050839
"XKR5",-0.157362679692356,-0.263241864304121,-1.52995515330155,0.126794899547497,0.157941004655568,-6.70174595928541
"LOC647121",0.171100038139064,0.234832649617264,1.52993855356182,0.126799008218854,0.157941004655568,-6.70177123744219
"C18orf22",-0.0830239277122362,0.112791541673169,-1.52986878251458,0.126816278681375,0.15795293340585,-6.70187748213514
"SATL1",-0.0843923135598029,0.470976718283072,-1.52972060487056,0.126852963263947,0.157989040027229,-6.70210310551655
"CD70",0.241394942204836,-0.867378363977636,1.52967929393763,0.126863192157039,0.157992195024811,-6.70216600394976
"GYPA",-0.0435637153083475,-0.335524206670337,-1.52947045895011,0.126914911109213,0.158047017170456,-6.70248394234366
"SP3",0.0616196268265156,0.54134661053832,1.52922511974096,0.12697569153952,0.158113116231355,-6.70285740133779
"CACNG7",0.068274960394435,-1.40750417631131,1.52789835654351,0.127304778393191,0.158513288477208,-6.70487599369583
"FAM35A",0.066750149621668,0.586075649581907,1.52785536720751,0.127315452484113,0.158516965219166,-6.70494137047364
"CTAGE4",0.181750023470142,0.800563068096875,1.52668063792814,0.127607403919682,0.158870830956402,-6.70672715649309
"C20orf173",0.0430809980637279,-0.0853544863904625,1.52626509452897,0.127710802541721,0.158989920331183,-6.70735852715438
"TIAL1",-0.0447792143402014,0.0585846343805386,-1.52576593916611,0.127835092568999,0.159135001845837,-6.7081167119589
"TMPRSS9",-0.22069051516774,-0.237609235735408,-1.52564808311051,0.127864452580517,0.159161899683382,-6.70829569192311
"ACTR8",0.0581736666080222,0.26312893138413,1.52500148209974,0.128025625893396,0.159352861621887,-6.70927739759921
"PLA2G7",-0.237034762072287,-0.592370884168835,-1.52495355766823,0.128037577959661,0.159358076720936,-6.70935014276185
"TMEM8C",0.0528683007686427,-0.140366027780219,1.52431899795091,0.128195915459957,0.159545474320618,-6.71031313668838
"FAM71E2",0.264444508009554,0.135456151435031,1.5242483713247,0.128213547900594,0.15955206654086,-6.71042029360034
"F2RL1",0.197441374757606,-0.751267217141607,1.52423552346223,0.128216755664448,0.15955206654086,-6.71043978624877
"AMHR2",0.148851587161942,-0.174267268855011,1.52375691618848,0.128336295579412,0.159691141781037,-6.7111658086677
"FAM83B",-0.346360884233993,1.05061377501945,-1.52363973817996,0.128365575929945,0.159717895384349,-6.71134352727585
"SERPINB1",0.0685334712199393,-0.226107025060564,1.52329070242469,0.128452823598616,0.159816766770474,-6.71187281400808
"LOC388796",0.123095329460638,-0.603819564751012,1.52308610810837,0.128503987072598,0.159870734129222,-6.71218301031281
"ARNTL",-0.0993977498095081,0.162936766425789,-1.52300581920616,0.128524069485956,0.159883160074112,-6.71230472932385
"BARHL2",-0.0254713020008236,-0.215186953734792,-1.5229839075634,0.128529550602199,0.159883160074112,-6.71233794655478
"LOC100129055",0.126733785131722,0.12199410871249,1.52267583465504,0.12860663320348,0.159969353509085,-6.71280492353416
"ABCA7",0.124909300005973,-0.359836212084918,1.522328370385,0.128693615138704,0.160067849194086,-6.71333149785555
"ZSWIM6",0.0977927917619429,0.0199732295780226,1.5221502627333,0.128738219228293,0.160113626991995,-6.71360136994728
"KHDC1L",0.10697030452381,-1.08052371196289,1.52107712563761,0.129007223723268,0.16043847243995,-6.71522674682173
"PPIAL4E",-0.0176713782784661,-0.0109300775517646,-1.52031322575673,0.129198978254176,0.160667213250847,-6.71638306140615
"TTTY9B",-0.0261264800797548,-0.0415809067385741,-1.51991563318977,0.129298870020834,0.160781696034387,-6.71698466965738
"HCLS1",-0.137447339083189,-0.309804034731047,-1.51971486845668,0.129349333330151,0.160834704940222,-6.71728839317724
"UBE2QL1",0.231976852665489,0.667330232029756,1.51710418284718,0.130006941995434,0.161642594426251,-6.72123431225776
"GUCY2GP",-0.0169740685325354,-0.196457167098562,-1.51635166196416,0.130196978123726,0.161861460640554,-6.72237046383469
"GBAS",-0.0776624273895447,0.25563390854585,-1.51634468358849,0.130198741403707,0.161861460640554,-6.7223809971364
